Timestamp,Sensor,Data
1719870590374,"M,-41.00,37.00,41.00"
1719870590386,"G,163180690,-786490007,0"
1719870590390,"L,101.19,30.28,11.51"
1719870590425,"H,29.45,35.59"
1719870590437,"B,0.47,-0.11,9.88,0.06,-0.12,-0.12"
1719870590459,"G,163174310,-786489549,0"
1719870590464,"L,101.19,30.28,11.24"
1719870590498,"H,29.46,35.59"
1719870590511,"B,0.46,-0.11,9.90,0.06,-0.06,-0.06"
1719870590513,"M,-39.00,36.00,40.00"
1719870590524,"G,163171120,-786489320,0"
1719870590529,"L,101.19,30.28,11.53"
1719870590564,"H,29.45,35.57"
1719870590575,"B,0.48,-0.10,9.91,0.12,-0.06,-0.06"
1719870590577,"M,-39.00,38.00,42.00"
1719870590600,"G,163164740,-786488862,0"
1719870590604,"L,101.19,30.28,11.42"
1719870590640,"H,29.45,35.55"
1719870590651,"B,0.45,-0.11,9.91,0.12,-0.06,-0.12"
1719870590664,"G,163161549,-786488633,0"
1719870590669,"L,101.19,30.28,11.46"
1719870590703,"H,29.46,35.54"
1719870590715,"B,0.46,-0.10,9.86,0.24,-0.18,-0.12"
1719870590717,"M,-35.00,34.00,45.00"
1719870590729,"G,163158359,-786488404,0"
1719870590734,"L,101.19,30.28,11.16"
1719870590768,"H,29.45,35.51"
1719870590780,"B,0.48,-0.11,9.91,-0.12,-0.18,-0.06"
1719870590782,"M,-37.00,39.00,36.00"
1719870590805,"G,163151979,-786487946,0"
1719870590809,"L,101.18,30.28,11.72"
1719870590844,"H,29.45,35.49"
1719870590856,"B,0.44,-0.09,9.89,0.12,-0.06,-0.12"
1719870590868,"G,163148789,-786487717,0"
1719870590873,"L,101.19,30.29,10.95"
1719870590907,"H,29.46,35.48"
1719870590919,"B,0.48,-0.11,9.90,0.06,0.06,-0.12"
1719870590921,"M,-39.00,40.00,38.00"
1719870590933,"G,163145599,-786487488,0"
1719870590937,"L,101.19,30.29,11.32"
1719870590972,"H,29.46,35.48"
1719870590984,"B,0.48,-0.11,9.90,0.06,-0.06,-0.06"
1719870590986,"M,-37.00,34.00,39.00"
1719870591008,"G,163139218,-786487031,0"
1719870591013,"L,101.18,30.28,11.68"
1719870591047,"H,29.46,35.46"
1719870591059,"B,0.47,-0.10,9.87,0.12,-0.18,-0.12"
1719870591071,"G,163136028,-786486802,0"
1719870591076,"L,101.19,30.28,11.36"
1719870591110,"H,29.46,35.45"
1719870591121,"B,0.45,-0.11,9.88,0.06,0.00,0.00"
1719870591124,"M,-36.00,38.00,38.00"
1719870591136,"G,163132838,-786486573,0"
